ticker,reason
AMD,no_rows_in_batch
AVGO,no_rows_in_batch
GOOG,no_rows_in_batch
META,no_rows_in_batch
NFLX,no_rows_in_batch
ORCL,no_rows_in_batch
TSLA,no_rows_in_batch
APP,no_rows_in_batch
CEG,no_rows_in_batch
CRWD,no_rows_in_batch
DDOG,no_rows_in_batch
DELL,no_rows_in_batch
KLAC,no_rows_in_batch
LRCX,no_rows_in_batch
MPWR,no_rows_in_batch
MRVL,no_rows_in_batch
MU,no_rows_in_batch
PANW,no_rows_in_batch
PLTR,no_rows_in_batch
SMCI,no_rows_in_batch
TER,no_rows_in_batch
FSLR,no_rows_in_batch
AAPL,no_rows_in_batch
ADBE,no_rows_in_batch
ALAB,no_rows_in_batch
AMZN,no_rows_in_batch
ARM,no_rows_in_batch
ASML,no_rows_in_batch
CRM,no_rows_in_batch
GOOGL,no_rows_in_batch
MDB,no_rows_in_batch
MELI,no_rows_in_batch
MSFT,no_rows_in_batch
MSTR,no_rows_in_batch
NOW,no_rows_in_batch
NVDA,no_rows_in_batch
RKLB,no_rows_in_batch
SHOP,no_rows_in_batch
ZS,no_rows_in_batch
ABNB,no_rows_in_batch
ADI,no_rows_in_batch
ADP,no_rows_in_batch
AEP,no_rows_in_batch
AKAM,no_rows_in_batch
ALGN,no_rows_in_batch
AMAT,no_rows_in_batch
ANET,no_rows_in_batch
AXON,no_rows_in_batch
BIIB,no_rows_in_batch
BKR,no_rows_in_batch
CDNS,no_rows_in_batch
CDW,no_rows_in_batch
CHRW,no_rows_in_batch
CHTR,no_rows_in_batch
CMCSA,no_rows_in_batch
COIN,no_rows_in_batch
CPRT,no_rows_in_batch
CSGP,no_rows_in_batch
CSX,no_rows_in_batch
CTAS,no_rows_in_batch
CTSH,no_rows_in_batch
DASH,no_rows_in_batch
DLTR,no_rows_in_batch
DXCM,no_rows_in_batch
EA,no_rows_in_batch
EBAY,no_rows_in_batch
ENPH,no_rows_in_batch
EQIX,no_rows_in_batch
EXC,no_rows_in_batch
EXPD,no_rows_in_batch
EXPE,no_rows_in_batch
FANG,no_rows_in_batch
FFIV,no_rows_in_batch
FLEX,no_rows_in_batch
FOX,no_rows_in_batch
FOXA,no_rows_in_batch
FTNT,no_rows_in_batch
GEHC,no_rows_in_batch
GEV,no_rows_in_batch
GRMN,no_rows_in_batch
HAS,no_rows_in_batch
HON,no_rows_in_batch
HOOD,no_rows_in_batch
HSIC,no_rows_in_batch
IDXX,no_rows_in_batch
INCY,no_rows_in_batch
JBHT,no_rows_in_batch
KDP,no_rows_in_batch
KHC,no_rows_in_batch
LIN,no_rows_in_batch
LITE,no_rows_in_batch
LULU,no_rows_in_batch
MAR,no_rows_in_batch
MCHP,no_rows_in_batch
MNST,no_rows_in_batch
MRNA,no_rows_in_batch
NCLH,no_rows_in_batch
NTAP,no_rows_in_batch
NWSA,no_rows_in_batch
NXPI,no_rows_in_batch
ODFL,no_rows_in_batch
ON,no_rows_in_batch
ORLY,no_rows_in_batch
PEP,no_rows_in_batch
PYPL,no_rows_in_batch
REGN,no_rows_in_batch
ROP,no_rows_in_batch
ROST,no_rows_in_batch
SBAC,no_rows_in_batch
SNDK,no_rows_in_batch
SNPS,no_rows_in_batch
STLD,no_rows_in_batch
STX,no_rows_in_batch
SWKS,no_rows_in_batch
TMUS,no_rows_in_batch
TSCO,no_rows_in_batch
TTD,no_rows_in_batch
TTWO,no_rows_in_batch
TXN,no_rows_in_batch
UAL,no_rows_in_batch
ULTA,no_rows_in_batch
VRSK,no_rows_in_batch
VRSN,no_rows_in_batch
VRT,no_rows_in_batch
WBD,no_rows_in_batch
WDAY,no_rows_in_batch
WDC,no_rows_in_batch
WMT,no_rows_in_batch
WTW,no_rows_in_batch
WYNN,no_rows_in_batch
XEL,no_rows_in_batch
AAL,no_rows_in_batch
AEOS,no_rows_in_batch
ALNY,no_rows_in_batch
ALTR,no_rows_in_batch
ALXN,no_rows_in_batch
AMLN,no_rows_in_batch
ANSS,no_rows_in_batch
APCC,no_rows_in_batch
APOL,no_rows_in_batch
ASTS,no_rows_in_batch
ATVI,no_rows_in_batch
AZN,no_rows_in_batch
BATRA,no_rows_in_batch
BATRK,no_rows_in_batch
BBBY,no_rows_in_batch
BEAS,no_rows_in_batch
BIDU,no_rows_in_batch
BMC,no_rows_in_batch
BMET,no_rows_in_batch
BMRN,no_rows_in_batch
CA,no_rows_in_batch
CCEP,no_rows_in_batch
CDWC,no_rows_in_batch
CELG,no_rows_in_batch
CELH,no_rows_in_batch
CEPH,no_rows_in_batch
CERN,no_rows_in_batch
CHKP,no_rows_in_batch
CKFR,no_rows_in_batch
CMVT,no_rows_in_batch
CRWV,no_rows_in_batch
CTRX,no_rows_in_batch
CTXS,no_rows_in_batch
DISCA,no_rows_in_batch
DISCK,no_rows_in_batch
DISH,no_rows_in_batch
DOCU,no_rows_in_batch
DTV,no_rows_in_batch
ENDP,no_rows_in_batch
ERIC,no_rows_in_batch
ESRX,no_rows_in_batch
FER,no_rows_in_batch
FI,no_rows_in_batch
