ablation,dropped_features,kept_features,pr_auc,roc_auc,top3_rows,precision_at_top3,top3_avg_future_return_1m,top3_avg_future_return_2m,top3_avg_future_return_3m,top3_avg_future_max_return_1_3m,top3_hit30_rate,top3_hit40_rate,top3_hit50_rate,top3_hit100_rate,monthly_any_top3_hit30_rate,monthly_any_top3_hit50_rate,monthly_any_top3_hit100_rate,top5_rows,precision_at_top5,top5_avg_future_return_1m,top5_avg_future_return_2m,top5_avg_future_return_3m,top5_avg_future_max_return_1_3m,top5_hit30_rate,top5_hit40_rate,top5_hit50_rate,top5_hit100_rate,monthly_any_top5_hit30_rate,monthly_any_top5_hit50_rate,monthly_any_top5_hit100_rate,top10_rows,precision_at_top10,top10_avg_future_return_1m,top10_avg_future_return_2m,top10_avg_future_return_3m,top10_avg_future_max_return_1_3m,top10_hit30_rate,top10_hit40_rate,top10_hit50_rate,top10_hit100_rate,monthly_any_top10_hit30_rate,monthly_any_top10_hit50_rate,monthly_any_top10_hit100_rate,delta_top3_future_max_vs_main
drop_liquidity_size,11,98,0.2910135951691821,0.8469424587129566,96,0.4583333333333333,0.13758109746076028,0.24380187001415024,0.3425483692890983,0.5119003366940856,0.4583333333333333,0.4375,0.3958333333333333,0.15625,0.71875,0.65625,0.375,160,0.4125,0.11008202936449799,0.1867370778879841,0.25148121809828194,0.42499465454730107,0.41875,0.3875,0.325,0.1375,0.8125,0.75,0.46875,320,0.40625,0.11483925503885144,0.23143611414214196,0.29713834491449037,0.46526028825254095,0.415625,0.375,0.31875,0.15625,0.875,0.8125,0.625,-0.012247643011806142
drop_risk_drawdown,19,90,0.28930017971799593,0.8495110229979673,96,0.4166666666666667,0.1815867433896782,0.30892754461666266,0.37814049279249706,0.5478604039606717,0.4270833333333333,0.3854166666666667,0.3333333333333333,0.15625,0.75,0.65625,0.40625,160,0.44375,0.16838487266852864,0.3532583210997943,0.4488899452367197,0.6046645144671883,0.45,0.40625,0.35,0.18125,0.84375,0.71875,0.5625,320,0.434375,0.14555952808736428,0.3049672283550637,0.47308420617448665,0.6285172189002403,0.440625,0.403125,0.34375,0.178125,0.875,0.8125,0.65625,0.02371242425477993
drop_trend,12,97,0.29238590604383213,0.851817720479208,96,0.4791666666666667,0.15175193576796706,0.36428333518379497,0.4785837506408215,0.6554845552035469,0.4895833333333333,0.4270833333333333,0.3854166666666667,0.16666666666666666,0.8125,0.625,0.375,160,0.4875,0.17011103162221752,0.41717279375410227,0.5677089868736276,0.7248100953795574,0.49375,0.44375,0.39375,0.2,0.875,0.78125,0.53125,320,0.428125,0.13020901928357587,0.30178402301470203,0.4721703629250271,0.6248857232037466,0.434375,0.396875,0.340625,0.171875,0.90625,0.8125,0.65625,0.1313365754976551
drop_volatility_frequency,11,98,0.2928165803446012,0.8489371569085202,96,0.46875,0.15215833665118653,0.40201765805871087,0.538311630579597,0.6794848489896386,0.4791666666666667,0.4166666666666667,0.375,0.16666666666666666,0.78125,0.65625,0.375,160,0.45,0.14260083746353058,0.3599024974035681,0.45562868348231317,0.6048102856207037,0.45625,0.4125,0.36875,0.175,0.84375,0.75,0.5,320,0.425,0.1326322894390199,0.29035804573858,0.4558509264696324,0.6118146347194559,0.43125,0.39375,0.321875,0.165625,0.90625,0.8125,0.625,0.1553368692837468
drop_volume_flow,9,100,0.29430994122507725,0.8511422104235802,96,0.4479166666666667,0.17309446074193188,0.39380269644695304,0.5212123307668884,0.6970757214993105,0.4583333333333333,0.4166666666666667,0.3645833333333333,0.17708333333333334,0.75,0.625,0.4375,160,0.46875,0.14913411030424767,0.33170583737394954,0.494494371623601,0.6545988178402846,0.475,0.425,0.3625,0.175,0.84375,0.71875,0.5,320,0.4625,0.14231151645615223,0.3078235464455465,0.4916049648718074,0.6437009526337857,0.471875,0.428125,0.3625,0.18125,0.9375,0.8125,0.65625,0.17292774179341874
drop_core_momentum,14,95,0.299991427261704,0.852368689383509,96,0.4791666666666667,0.14556176111387986,0.37536539551737036,0.5730461044480678,0.7422084133858988,0.4895833333333333,0.4583333333333333,0.4166666666666667,0.14583333333333334,0.75,0.6875,0.34375,160,0.48125,0.16553362519558615,0.3605350211596517,0.565312158302471,0.7216440429787256,0.49375,0.4375,0.40625,0.1875,0.8125,0.75,0.5,320,0.4375,0.13562693026687062,0.2933405703482962,0.46194270670536364,0.6157489283414971,0.446875,0.409375,0.34375,0.175,0.90625,0.8125,0.65625,0.21806043368000705
drop_etf_source,5,104,0.28967487561410904,0.8497054623318033,96,0.4895833333333333,0.22982462711385926,0.47170825146634204,0.571978718153359,0.7540611714132797,0.5,0.4479166666666667,0.3958333333333333,0.25,0.78125,0.65625,0.5,160,0.46875,0.19676108533933245,0.4253813101980926,0.5750492388297448,0.740884325349157,0.475,0.4375,0.38125,0.20625,0.84375,0.71875,0.5625,320,0.4625,0.15490248897919706,0.33160030868935697,0.4955344496141822,0.6409487883777877,0.465625,0.409375,0.346875,0.18125,0.90625,0.8125,0.65625,0.2299131917073879
drop_qqq_context,4,105,0.2962522754047383,0.8512589946865889,96,0.4583333333333333,0.21481952446097516,0.3309212278950271,0.6242461793180444,0.7858183373319265,0.46875,0.4166666666666667,0.375,0.17708333333333334,0.78125,0.65625,0.4375,160,0.45625,0.1639475456228626,0.28946064392927545,0.4821998847313096,0.64457774342876,0.4625,0.41875,0.36875,0.18125,0.78125,0.6875,0.46875,320,0.434375,0.1429498172195274,0.3092337216036679,0.4510416980577644,0.615906213343497,0.44375,0.40625,0.346875,0.1875,0.90625,0.8125,0.6875,0.26167035762603474
drop_relative_strength,4,105,0.2907228917542757,0.8504180618052773,96,0.5,0.17790321297073258,0.3976172777554426,0.6325927457907545,0.8091187273132991,0.5,0.4375,0.375,0.1875,0.78125,0.625,0.4375,160,0.45,0.15647943029506817,0.3493209556787994,0.5632912214541532,0.7182273701977938,0.45625,0.40625,0.35625,0.19375,0.8125,0.75,0.5625,320,0.428125,0.13677971471450578,0.2991542392366384,0.4449525954250605,0.6061025006462116,0.4375,0.39375,0.33125,0.16875,0.90625,0.8125,0.65625,0.28497074760740737
drop_other_momentum,13,96,0.2880375669244972,0.8516814865369723,96,0.46875,0.2732254073426259,0.39744879076140394,0.6666366467129353,0.8340931189943973,0.46875,0.4375,0.3958333333333333,0.1875,0.71875,0.59375,0.34375,160,0.45,0.2079143696854368,0.3518047388053591,0.5577281866037282,0.7158917061963789,0.45625,0.40625,0.35,0.16875,0.8125,0.71875,0.46875,320,0.41875,0.1450902183213845,0.2892344172645088,0.4184065574865875,0.5875235709555826,0.434375,0.3875,0.334375,0.171875,0.84375,0.75,0.59375,0.30994513928850553
