feature,importance_gain
intraday_range_mean_3m,0.13219324
volatility_6m,0.07010519
intraday_range_mean_6m,0.033864785
atr_14_to_price,0.02800874
avg_abs_daily_return_6m,0.0139180245
avg_dollar_volume_3m,0.013591565
drawdown_3m,0.013298537
mom_5m,0.013256834
up_big_move_freq_6m,0.012016683
liquid_vol_score,0.011946438
drawdown_3m_abs,0.011162181
ret_lag_1m,0.011016218
volatility_3m,0.010681014
drawdown_6m_abs,0.010623342
qqq_mom_1m,0.010558693
avg_dollar_volume_6m,0.010309109
core_mom_456_avg,0.010298114
ma100_slope_1m,0.010233345
drawdown_6m,0.010181573
avg_dollar_volume_1m,0.009806558
ret_lag_6m_mean,0.009687835
ma50_slope_1m,0.009629325
large_move_freq_6m,0.009585613
down_big_move_freq_6m,0.009585552
recovery_from_3m_low,0.009545118
ret_lag_6m_std,0.009392699
core_mom_456_min,0.009342004
mom_1m,0.00905011
volatility_3m_to_6m,0.008889656
large_move_freq_3m,0.00880742
ret_lag_6m,0.008659654
log_avg_dollar_volume_3m,0.008609877
drawdown_12m,0.00847005
core_mom_456_max,0.008344659
qqq_mom_12m,0.008264005
ret_lag_6m_max,0.00803428
rel_mom_1m_vs_qqq,0.007947296
qqq_mom_6m,0.0078031025
drawdown_change_3m,0.007600564
mom_6m,0.0075852047
ma30_slope_1m,0.007443744
return_vol_ratio_1m,0.007438277
drawdown_12m_abs,0.007414231
mom_4m,0.007312847
ma20_slope_1m,0.0072989096
qqq_mom_3m,0.0072682067
ret_lag_6m_min,0.0072320015
mom_7m,0.0072013936
ma10_slope_1m,0.0071634976
ret_lag_5m,0.007132415
ret_lag_4m,0.0070716343
volatility_1m_to_6m,0.0070484728
mom_6m_acceleration,0.0070378194
drawdown_change_1m,0.006917448
price_ma20_ratio,0.006852655
return_vol_ratio_3m,0.006826506
mom_3m_vs_6m,0.0068047503
mom_12m,0.0067817857
price_ma10_ratio,0.0067757517
price_ma30_ratio,0.006707337
up_day_volume_ratio_3m,0.0064903516
avg_abs_daily_return_3m,0.006475733
days_since_3m_low_norm,0.00647433
atr_14_to_100d,0.006444387
avg_abs_daily_return_1m,0.006428035
recovery_from_6m_low,0.0063972236
dollar_volume_3m_to_6m,0.0063548447
ret_lag_3m,0.006322015
core_mom_456_std,0.006313444
mom_6m_last3m,0.0062974067
recovery_from_1m_low,0.006231762
up_day_dollar_volume_ratio_3m,0.0062169097
price_ma50_ratio,0.0062133274
positive_month_ratio_6m,0.006063545
mom_9m,0.0060347957
rel_mom_3m_vs_qqq,0.0060192044
mom_5m_vs_6m,0.0060177324
volume_ratio_3m,0.0059841666
dollar_volume_change_1m,0.0059574503
rel_mom_6m_vs_qqq,0.00594163
mom_2m,0.005899756
mom_6m_first3m,0.0058660037
volume_ma3_to_12m,0.005862657
days_since_3m_high_norm,0.005681176
ma5_slope_1m,0.0056582103
volatility_1m,0.0055452213
return_vol_ratio_6m,0.0054948446
rel_mom_12m_vs_qqq,0.0053997515
volume_change_1m,0.005386531
mom_4m_vs_6m,0.0052416553
volume_ma1_to_6m,0.0051953993
price_ma100_ratio,0.0051763155
dollar_volume_change_3m,0.0050728866
mom_3m,0.005014629
price_ma5_ratio,0.0049627386
volatility_1m_to_3m,0.0048251436
drawdown_1m,0.00443931
ret_lag_2m,0.0043929806
up_big_move_freq_3m,0.004363597
down_big_move_freq_3m,0.0043034293
drawdown_1m_abs,0.004144176
volume_change_3m,0.0037614435
source_count,0.0
source_weight_sum,0.0
in_core_growth,0.0
theme_count,0.0
in_large_cap_core,0.0
in_manual_core,0.0
trading_day_count_3m,0.0
trading_day_count_6m,0.0
