feature,feature_group,missing_count,missing_rate,non_null_rows,non_null_rate,first_valid_month,last_valid_month,dropped,drop_reason
up_day_volume_ratio_3m,volume_flow,315,0.007420145105059832,42137,0.9925798548949402,2016-01-31,2026-06-30,False,
up_day_dollar_volume_ratio_3m,volume_flow,315,0.007420145105059832,42137,0.9925798548949402,2016-01-31,2026-06-30,False,
rel_mom_12m_vs_qqq,relative_strength,226,0.005323659662677848,42226,0.9946763403373221,2016-01-31,2026-06-30,False,
mom_12m,other_momentum,226,0.005323659662677848,42226,0.9946763403373221,2016-01-31,2026-06-30,False,
mom_9m,other_momentum,168,0.003957410722698577,42284,0.9960425892773014,2016-01-31,2026-06-30,False,
mom_7m,other_momentum,130,0.0030622821068500895,42322,0.9969377178931499,2016-01-31,2026-06-30,False,
volume_change_3m,volume_flow,117,0.0027560538961650806,42335,0.9972439461038349,2016-01-31,2026-06-30,False,
dollar_volume_change_3m,volume_flow,117,0.0027560538961650806,42335,0.9972439461038349,2016-01-31,2026-06-30,False,
mom_6m,core_momentum,111,0.0026147177989258455,42341,0.9973852822010741,2016-01-31,2026-06-30,False,
mom_4m_vs_6m,core_momentum,111,0.0026147177989258455,42341,0.9973852822010741,2016-01-31,2026-06-30,False,
mom_5m_vs_6m,core_momentum,111,0.0026147177989258455,42341,0.9973852822010741,2016-01-31,2026-06-30,False,
mom_6m_first3m,core_momentum,111,0.0026147177989258455,42341,0.9973852822010741,2016-01-31,2026-06-30,False,
mom_6m_acceleration,core_momentum,111,0.0026147177989258455,42341,0.9973852822010741,2016-01-31,2026-06-30,False,
ret_lag_6m,sequence_path,111,0.0026147177989258455,42341,0.9973852822010741,2016-01-31,2026-06-30,False,
rel_mom_6m_vs_qqq,relative_strength,111,0.0026147177989258455,42341,0.9973852822010741,2016-01-31,2026-06-30,False,
mom_3m_vs_6m,other_momentum,111,0.0026147177989258455,42341,0.9973852822010741,2016-01-31,2026-06-30,False,
return_vol_ratio_6m,risk_drawdown,111,0.0026147177989258455,42341,0.9973852822010741,2016-01-31,2026-06-30,False,
drawdown_12m,risk_drawdown,110,0.0025911617827193067,42342,0.9974088382172807,2016-01-31,2026-06-30,False,
drawdown_12m_abs,risk_drawdown,110,0.0025911617827193067,42342,0.9974088382172807,2016-01-31,2026-06-30,False,
ma100_slope_1m,trend,103,0.0024262696692735324,42349,0.9975737303307265,2016-01-31,2026-06-30,False,
mom_5m,core_momentum,92,0.002167153491001602,42360,0.9978328465089984,2016-01-31,2026-06-30,False,
core_mom_456_std,core_momentum,92,0.002167153491001602,42360,0.9978328465089984,2016-01-31,2026-06-30,False,
ret_lag_5m,sequence_path,92,0.002167153491001602,42360,0.9978328465089984,2016-01-31,2026-06-30,False,
