rank,month,ticker,ensemble_score,main_score,five_seed_avg_score,five_seed_score_std,rounds_100_avg_score,rounds_100_score_std,mom_6m,mom_3m,rel_mom_6m_vs_qqq,liquid_vol_score,avg_dollar_volume_3m,large_move_freq_3m,source_count,source_weight_sum,theme_count
1,2026-08-31,ALAB,0.9859142,0.99112767,0.98816985,0.0019123914,0.9784449,0.0040377784,1.8121687139484952,-0.0253171722947571,1.6187730411361638,0.957225906820601,1964453466.7867267,0.6984126984126984,1.0,4.0,1.0
2,2026-08-31,ARM,0.9856091,0.9912355,0.987224,0.0023453948,0.97836787,0.003986497,1.2171048575149923,-0.2001754918345245,1.023709184702661,0.9583873563095632,3076808218.081786,0.6349206349206349,1.0,4.0,1.0
3,2026-08-31,MRVL,0.98438114,0.9887911,0.986248,0.0017171092,0.97810423,0.0033357965,1.6794402424463342,0.0671900804418486,1.4860445696340028,0.9745100552155757,10379426040.658909,0.7142857142857143,2.0,7.0,2.0
4,2026-08-31,MU,0.98275584,0.98722374,0.98343927,0.0030294724,0.97760445,0.0035025799,1.129334564205335,-0.096081405631362,0.9359388913930036,0.9858223062381852,48738676759.42305,0.6507936507936508,2.0,7.0,2.0
5,2026-08-31,DELL,0.98154455,0.9841552,0.9837519,0.0026709524,0.9767267,0.0033907606,2.078918174594341,0.0798503953448259,1.88552250178201,0.9497787460973516,3417975616.0281954,0.6190476190476191,2.0,7.0,2.0
6,2026-08-31,RKLB,0.981373,0.9861647,0.98354685,0.0021954547,0.97440755,0.004836567,0.1986975927658765,-0.422706967538914,0.0053019199535451,0.9643718916763676,2708157581.766286,0.6984126984126984,1.0,4.0,1.0
7,2026-08-31,HIMS,0.98071796,0.9841844,0.98198855,0.0018576521,0.97598106,0.0032872548,1.175619776630041,0.2080306161917779,0.9822241038177096,0.8485459186397959,544084809.8926332,0.6190476190476191,1.0,4.0,1.0
8,2026-08-31,TER,0.97965354,0.9829265,0.98150027,0.0021589743,0.9745338,0.0039594164,0.1856802544056999,0.0133579119783391,-0.0077154184066314,0.9338974150851374,1666116750.0370572,0.5873015873015873,2.0,7.0,2.0
9,2026-08-31,ASTS,0.97963643,0.98364085,0.98351353,0.001431355,0.97175497,0.0056276084,-0.0915519608092495,-0.3656644024477566,-0.2849476336215809,0.9568578029825666,1839345304.6599436,0.6666666666666666,1.0,4.0,1.0
10,2026-08-31,BE,0.97906065,0.9833227,0.9812523,0.00232703,0.972607,0.0073991935,0.4090062241784422,-0.2303859777617871,0.2156105513661108,0.9814372781675976,3563257799.457465,0.6666666666666666,1.0,3.0,1.0
