ticker,selected_rounds,avg_rank,best_rank
MRVL,90,4.155555555555556,1
TER,86,3.116279069767442,1
SEDG,81,3.9876543209876543,1
ARM,78,4.115384615384615,1
ENPH,68,5.779411764705882,1
MU,64,5.203125,1
PLUG,54,6.111111111111111,1
BE,52,5.711538461538462,1
ALAB,45,5.977777777777778,1
NXT,34,7.235294117647059,2
DELL,30,6.166666666666667,1
SMCI,30,6.4,1
UUUU,30,6.533333333333333,2
OKLO,29,6.103448275862069,1
MSTR,26,6.461538461538462,2
AMD,26,6.730769230769231,1
RGTI,20,6.55,2
COIN,16,6.1875,3
IONQ,16,6.5625,1
DDOG,16,7.125,4
LRCX,15,7.066666666666666,2
APP,15,7.466666666666667,1
HIMS,14,5.928571428571429,1
QBTS,13,6.846153846153846,1
RKLB,10,8.6,5
SOUN,9,8.222222222222221,5
VRT,8,8.5,7
KLAC,5,6.2,4
SNDK,3,8.0,7
AMAT,3,8.333333333333334,7
NET,3,9.666666666666666,9
HONA,2,2.5,1
INTC,2,5.0,5
ASTS,1,7.0,7
NOW,1,8.0,8
COHR,1,9.0,9
LEU,1,9.0,9
STX,1,9.0,9
MPWR,1,10.0,10
WDC,1,10.0,10
