round,train_months,feature_count,pr_auc,roc_auc,top3_rows,precision_at_top3,top3_avg_future_return_1m,top3_avg_future_return_2m,top3_avg_future_return_3m,top3_avg_future_max_return_1_3m,top3_hit30_rate,top3_hit40_rate,top3_hit50_rate,top3_hit100_rate,monthly_any_top3_hit30_rate,monthly_any_top3_hit50_rate,monthly_any_top3_hit100_rate,top5_rows,precision_at_top5,top5_avg_future_return_1m,top5_avg_future_return_2m,top5_avg_future_return_3m,top5_avg_future_max_return_1_3m,top5_hit30_rate,top5_hit40_rate,top5_hit50_rate,top5_hit100_rate,monthly_any_top5_hit30_rate,monthly_any_top5_hit50_rate,monthly_any_top5_hit100_rate,top10_rows,precision_at_top10,top10_avg_future_return_1m,top10_avg_future_return_2m,top10_avg_future_return_3m,top10_avg_future_max_return_1_3m,top10_hit30_rate,top10_hit40_rate,top10_hit50_rate,top10_hit100_rate,monthly_any_top10_hit30_rate,monthly_any_top10_hit50_rate,monthly_any_top10_hit100_rate
0,61,99,0.2913087738790273,0.8523844310694901,99,0.47474747474747475,0.17913489724410828,0.4235067443009187,0.44546535999023923,0.6348888376012481,0.47474747474747475,0.43434343434343436,0.40404040404040403,0.21212121212121213,0.7272727272727273,0.6363636363636364,0.42424242424242425,165,0.4484848484848485,0.17385971394137228,0.39569471375958665,0.4692945522184281,0.641542931775856,0.45454545454545453,0.4121212121212121,0.3696969696969697,0.2,0.8484848484848485,0.7272727272727273,0.5454545454545454,330,0.43636363636363634,0.13915812283299683,0.28390788113955007,0.4063192039685851,0.5786073489515144,0.44242424242424244,0.3878787878787879,0.3333333333333333,0.17272727272727273,0.9090909090909091,0.8181818181818182,0.5757575757575758
1,61,103,0.28172067487948776,0.8495878105255303,99,0.4444444444444444,0.2050356923226966,0.39762099267601025,0.5767941185385249,0.7671952189704934,0.4444444444444444,0.40404040404040403,0.37373737373737376,0.20202020202020202,0.7878787878787878,0.696969696969697,0.48484848484848486,165,0.4,0.148265056180991,0.36774224795239363,0.4970334350872739,0.6724451520372611,0.4121212121212121,0.36363636363636365,0.3393939393939394,0.17575757575757575,0.7878787878787878,0.7575757575757576,0.5151515151515151,330,0.4121212121212121,0.13674525042178592,0.2824366717513215,0.42954180984890333,0.5957602439299856,0.42424242424242425,0.37272727272727274,0.3181818181818182,0.1606060606060606,0.9393939393939394,0.8484848484848485,0.6060606060606061
2,61,97,0.2884168990123139,0.8515259704415318,99,0.494949494949495,0.15058089342934605,0.35692883298086586,0.8218477562264579,0.9053341134785153,0.494949494949495,0.45454545454545453,0.41414141414141414,0.25252525252525254,0.7272727272727273,0.6363636363636364,0.42424242424242425,165,0.4484848484848485,0.1554455543751057,0.284480871250787,0.5461071041014613,0.6791012982887045,0.45454545454545453,0.3878787878787879,0.3515151515151515,0.18181818181818182,0.8484848484848485,0.696969696969697,0.5151515151515151,330,0.4090909090909091,0.13481871042838173,0.29621442687000105,0.4434541984200604,0.6047362357146429,0.4212121212121212,0.3696969696969697,0.3242424242424242,0.18181818181818182,0.9090909090909091,0.7878787878787878,0.6363636363636364
3,61,103,0.30275572148757496,0.851637409174019,99,0.5050505050505051,0.23000455481876605,0.5112234788776552,0.8098514400455505,0.9920265748205038,0.5252525252525253,0.47474747474747475,0.43434343434343436,0.25252525252525254,0.7878787878787878,0.696969696969697,0.5454545454545454,165,0.4727272727272727,0.19166101105588967,0.46095991082674587,0.698237104021523,0.8862466039796851,0.48484848484848486,0.43636363636363634,0.40606060606060607,0.23636363636363636,0.8181818181818182,0.7575757575757576,0.5757575757575758,330,0.4303030303030303,0.1475935893620816,0.30829840200076586,0.47113741037645807,0.6361503667710385,0.4484848484848485,0.39090909090909093,0.3393939393939394,0.1787878787878788,0.8484848484848485,0.7575757575757576,0.6060606060606061
4,61,102,0.28679448641060684,0.8497313425204371,99,0.4444444444444444,0.2090582352135558,0.413623422568833,0.49538897691542616,0.6895787249600991,0.45454545454545453,0.3939393939393939,0.3333333333333333,0.2222222222222222,0.7878787878787878,0.5757575757575758,0.42424242424242425,165,0.42424242424242425,0.17422020153072132,0.3611101789166584,0.45997969471422984,0.6412879718965399,0.44242424242424244,0.38181818181818183,0.32727272727272727,0.18181818181818182,0.8787878787878788,0.7272727272727273,0.5757575757575758,330,0.41515151515151516,0.13717607352513275,0.2933983030488464,0.44091843582650286,0.6017350632391165,0.4303030303030303,0.37272727272727274,0.31212121212121213,0.17575757575757575,0.9090909090909091,0.7878787878787878,0.6363636363636364
5,61,99,0.2966764442274554,0.849652898393059,99,0.45454545454545453,0.20723050297205395,0.3167333259152918,0.4479691912474351,0.6190583554491287,0.45454545454545453,0.42424242424242425,0.36363636363636365,0.1919191919191919,0.7575757575757576,0.6363636363636364,0.42424242424242425,165,0.44242424242424244,0.16490282240212237,0.3400050110194314,0.6239630258243022,0.7758992469812586,0.4484848484848485,0.4121212121212121,0.3575757575757576,0.18787878787878787,0.8484848484848485,0.7575757575757576,0.5757575757575758,330,0.42424242424242425,0.13073957558414057,0.2878944436506379,0.4496625028501085,0.6044538736884224,0.4303030303030303,0.3787878787878788,0.3212121212121212,0.15757575757575756,0.8787878787878788,0.7878787878787878,0.6060606060606061
6,61,104,0.2813338528093494,0.8509650894680948,99,0.45454545454545453,0.2177868282106271,0.34240621504702573,0.3591836364251731,0.5671263399397118,0.46464646464646464,0.42424242424242425,0.3838383838383838,0.21212121212121213,0.696969696969697,0.6363636363636364,0.3939393939393939,165,0.48484848484848486,0.18363663911231135,0.3573721231772033,0.5886383119154586,0.7499878526595871,0.4909090909090909,0.4484848484848485,0.3939393939393939,0.20606060606060606,0.7878787878787878,0.7575757575757576,0.48484848484848486,330,0.4212121212121212,0.1490410520914796,0.3042060235983316,0.4585179245483319,0.6183641857236539,0.43636363636363634,0.38484848484848483,0.3333333333333333,0.16363636363636364,0.8787878787878788,0.7878787878787878,0.5454545454545454
7,61,102,0.28684745447150317,0.8534901327284468,99,0.42424242424242425,0.2045580549451715,0.32080376934651406,0.6425708942732808,0.7876811366039935,0.4444444444444444,0.3939393939393939,0.36363636363636365,0.20202020202020202,0.7272727272727273,0.6363636363636364,0.45454545454545453,165,0.41818181818181815,0.15481434662275376,0.3320394971407334,0.5794884901299229,0.7225004795726446,0.43636363636363634,0.38181818181818183,0.3515151515151515,0.19393939393939394,0.7575757575757576,0.696969696969697,0.5454545454545454,330,0.4121212121212121,0.1300614307872116,0.27568834985651414,0.42046598336974617,0.5804717528466358,0.42424242424242425,0.3696969696969697,0.3181818181818182,0.17272727272727273,0.8484848484848485,0.7878787878787878,0.6060606060606061
8,61,101,0.29931581840754495,0.850950504104578,99,0.47474747474747475,0.19483206141684425,0.5107967724133984,0.5270940618678291,0.7567641860166731,0.48484848484848486,0.45454545454545453,0.41414141414141414,0.23232323232323232,0.7878787878787878,0.7272727272727273,0.48484848484848486,165,0.4666666666666667,0.18667175412666925,0.40249654779879146,0.564277252439084,0.7604441657420147,0.4727272727272727,0.43636363636363634,0.38181818181818183,0.21818181818181817,0.8181818181818182,0.7272727272727273,0.5454545454545454,330,0.43636363636363634,0.14754518893735846,0.30462478619033057,0.4503183411575593,0.6118454269310823,0.4484848484848485,0.38484848484848483,0.3303030303030303,0.17575757575757575,0.9090909090909091,0.7575757575757576,0.6060606060606061
9,61,103,0.2933569506702479,0.8517164268831083,99,0.4444444444444444,0.15916492846837035,0.31270786553723684,0.4418933075223371,0.6266267723049106,0.45454545454545453,0.3939393939393939,0.37373737373737376,0.1919191919191919,0.7272727272727273,0.5757575757575758,0.36363636363636365,165,0.42424242424242425,0.16479753008378628,0.3659580929878651,0.47619556220425097,0.6631067864844205,0.4303030303030303,0.3878787878787879,0.3515151515151515,0.17575757575757575,0.7575757575757576,0.696969696969697,0.45454545454545453,330,0.396969696969697,0.1164127174483323,0.26810358764330505,0.4068460536265766,0.5717805939260724,0.403030303030303,0.3696969696969697,0.3151515151515151,0.16666666666666666,0.7878787878787878,0.7272727272727273,0.5757575757575758
